"","url","social","title","postTags","time","text","views","comments","id"
"1","https://www.finextra.com/newsarticle/32408/p2p-lending-firm-growth-street-joins-starling-marketplace",5,"P2P lending firm Growth Street joins Starling Marketplace","13 hours ago  |  1848 views  |  0",1531956207,"
	Growth Street will be the first SME finance provider to join the marketplace, which Starling is using to give its customers access to a host of third party services - from pensions to insurance to loyalty schemes - that it does not itself offer.Initially, the Starling interface will work for existing and new users of Growth Street’s flagship SME finance product, with customers able to access real-time information on their facility limits and available funds.Anne Boden, CEO, Starling, says: ""Through our partnership with Growth Street we will be helping Starling’s business account holders unlock new sources of flexible capital. This partnership will bring added value to customers of both Starling for Business and Growth Street.""","1848","0",1
"2","https://www.finextra.com/newsarticle/32411/hong-kong-monetary-authority-embraces-open-apis",18,"Hong Kong Monetary Authority embraces Open APIs","3 hours ago  |  1163 views  |  0",1531992207,"
	The formulation of the shedule is one of the seven initiatives announced by the central bank in September 2017 to prepare Hong Kong to move into a new era of Smart Banking. The Framework - released after consultation with banks and service providers - takes aa four-phase approach to implement various Open API functions and lays out detailed expectations on how banks should onboard and maintain relationship with TSPs to ensure consumer protection. The HKMA expects banks to deploy Phase I Open APIs within six months and Phase II Open APIs within 12 to 15 months. It plans to publish a summary of deployment roadmaps of the Open API functions from the banks for reference by the market.To set an example, the HKMA has released its own Open API, comprising around 50 sets of financial data published on the its website, such as statistics on Hong Kong dollar exchange rates, interest rates, the banking sector and the Exchange Fund, as well as press releases and Coin Cart schedule. Norman Chan, chief executive of the HKMA, says: “Open API is one small step for a bank, but a milestone for financial innovation in the banking sector. We hope that the Framework will provide specific guidance to enable collaboration between banks and TSPs, and ultimately bring new experience of innovative, convenient and safe banking services to customers.”
","1163","0",2
"3","https://www.finextra.com/newsarticle/32410/truelayer-raises-75-million-for-european-expansion",13,"TrueLayer raises $7.5 million for European expansion","3 hours ago  |  1423 views  |  1",1531992207,"
	Founded in 2016, TrueLayer's data API provides an interface between financial institutions and third-party applications for the sharing of customer transaction feeds.Since Open Banking was launched in January, TrueLayer has secured a series of major partnerships and integrations with companies including Monzo, Starling Bank, Zopa, ClearScore, Canopy, Plum, BitBond, Emma, Anorak and CreditLadder. The firms say it also has a number of undisclosed partnerships in the pipeline with major companies in the consumer and financial space that will go live in the next 12 months. The new funding comes previous investors NorthZone, Anthemis and Connect Ventures.Francesco Simoneschi, co-Founder and CEO of TrueLayer, says the company will initially set up base camp in Germany and France ahead of an EU-wide roll out.“In the coming months, we will be busy expanding to more and more countries as well as releasing a wealth of new functionalities and products to our Bank API platform,"" he says. ""We want TrueLayer to be the key player in the creation of a secure infrastructure that underpins Open Banking and this investment is a big step forward on this journey.”
","1423","1",3
"4","https://www.finextra.com/newsarticle/32409/moneysupermarket-sets-up-fintech-jv-to-digitise-the-mortgage-market",7,"Moneysupermarket sets up fintech JV to digitise the mortgage market","4 hours ago  |  1426 views  |  0",1531988607,"
	The new joint venture, Podium, comes amid a wave of disruption in the traditionally paper-based mortgage market which has seen a rash of new entrants in recent months.Moneysupermarket already attracts up to 16 million visitors to its mortgage website each year - representing around 25% of mortgage search traffic. Traditionally users find the best loan to suit their needs and complete the deal offsite with a third party mortgage broker. Podium's aim is to act as an onsite mortgage broker, digitising the application process and doing away with the paper trail.""We all know finding a better mortgage is complicated,"" says Moneysupermarket chief Mark Lewis. ""Customers are already looking to us for help with mortgages. We said we would do something about this and today we announce Podium, a new mortgage fintech, to build a comparison tool to bring customers the digitisation of mortgages - an easier and better way to arrange the mortgage that suits them.""Podium forms part of Moneysupermarket's 'Reinvent' strategy, extending the firm's remit into the provision of financial services. The group is midway through a £5 million spend to re-engineer its technology platform and unlock new opportunities for growth.
","1426","0",4
"5","https://www.finextra.com/newsarticle/32406/bloomberg-curates-twitter-feed-for-algo-traders-state-street-reads-the-news",2,"Bloomberg curates Twitter feed for algo traders; State Street reads the news","13 hours ago  |  1573 views  |  0",1531956207,"
	Built on the back of Bloomberg’s natural language processing (NLP) techniques and available through the company’s Event-Driven Feeds (EDF) product, the data promises to allow financial firms to extract value by making sense of the over 500 million tweets per day.Tony McManus, Bloomberg Enterprise Data CIO, says: ""Our customers tell us that Twitter data is a vital part of their information-driven trading strategies, helping them uncover early trends and changes in sentiment.""Our Twitter EDF feed will help quantitative traders to capitalise on Twitter’s influence on the markets through constantly evolving curation methodologies. These include proprietary NLP modeling, coupled with Bloomberg’s reputation for data quality and the expertise of a world-class news organisation.""Separately, State Street has launched a mobile application that uses big data, machine learning and NLP to help investors assess their portfolio exposure to breaking news. The tool, called Verus, gathers coverage from thousands of major global, English-language news publications and combines machine learning algorithms with portfolio data from State Street’s end-to-end risk analytics platform to curate users’ newsfeeds. Humans also play a part, with Verus incorporating the insights of a dedicated editorial team comprising former financial news editors and journalists continuously providing feedback to the algorithms so that the connections made are relevant and that the underlying algorithms are continually improving.Once direct connections are identified, Verus analyses third-party relationship data in order to surface relevant indirect relationships within the portfolio. Connections are then ranked by a 'V Score' based on three main factors: article content, risk, and network connections. The V Score tells users whether they should care about the news and how much.Stephen Marshall, head, State Street Verus, says: ""About 150,000 articles are generated on business and finance topics each week, and investment and risk professionals struggle to reliably filter out noise and feel confident that they are not missing anything that could impact their portfolio.""Our new solution highlights not only the direct connections but also the less obvious indirect connections between these news items and clients’ portfolios; shortening the amount of time between when a relevant news story breaks and when a client can comfortably answer the question, ‘What is my exposure?’""
","1573","0",5
"6","https://www.finextra.com/newsarticle/32405/banco-sabadells-innocells-pumps-eur75-million-into-israeli-startup-fund",4,"Banco Sabadell's InnoCells pumps EUR7.5 million into Israeli startup fund","13 hours ago  |  1888 views  |  0",1531956207,"
	Created in 2017 and regulated by the National Securities Market Commission, the Cardumen fund offers access to emerging technology on an international scale via the Israeli market.With more than 5,000 startups operating out of Israel, InnoCells is looking to tap in to the expertise of firms working at the cutting edge of artificial intelligence and cybersecurity, among others.InnoCells, which has been tasked with making deals that contribute new technology, talent and knowledge to Banco Sabadell, has become an active investors in the startup community. Over the past nine months, the group has acquired POS financing business Instant Credit, and led investment rounds in voice authentication startup Biometric Vox, and UK financial aggregation platform Bud.
","1888","0",6
"7","https://www.finextra.com/newsarticle/32407/blast-raises-12m-for-app-that-helps-gamers-save-while-they-play",3,"Blast raises $12m for app that helps gamers save while they play","21 hours ago  |  2665 views  |  0",1531927407,"
	Entrepreneur Tony Robbins, fintech fund CreditEase, and VC fund RX3 are among the new investors to pump $7 million into the firm, topping up a $5 million raise from March.Led by Walter Cruttenden, who co-founded micro-investing app Acorns, Blast has built an app that provides a way to save money by playing mobile games, based on in-game triggers set by the user. Once they have downloaded the app, users create an account and link their checking account to their Blast wallet. Gamers can then decide how much they want to save based on simple time triggers or more complex achievement triggers.Blast then boosts the money gamers put aside because the funds are held in an FDIC-insured account earning 1% APY. Gamers can also receive dividends for missions and win weekly cash prizes if they come in the top 25% of the app's leaderboard - with first place receiving $1000.The Android app works in the background of all mobile games in the Google Play Store and is also compatible with some PC games on the Steam marketplace with more to come. Blast has also started a waitlist for games on iOS, which launches in the autumn.Blast says that it wants to make saving exciting for younger people. During an eight week beta period, the average user’s account was up more than seven per cent.Says Cruttenden: ""It’s tough for most people to save money, so we created Blast to help people start accumulating wealth simply by doing what they already enjoy - playing their favorite games...Gamers tell us they feel better with the time they spend gaming when they know they are micro-saving or micro-earning in the background.""
","2665","0",7
"8","https://www.finextra.com/newsarticle/32404/ibm-to-test-dollar-pegged-stablecoin",21,"IBM to test dollar-pegged 'stablecoin'","18 July 2018  |  4038 views  |  0",1531915200,"
	The USD Anchor stablecoin - a digital token that is backed one-for-one to the US dollar - has been launched by startup Stronghold on the Stellar Network, an open source protocol for value exchange. The token is backed by FDIC-insured US dollars with the reserves held by Prime Trust, a blockchain-focused asset manager.IBM says that it will explore uses for the Stronghold USD within business networks on its blockchain platform, looking for ways that banks and others can tap into the technology for better transaction processing. Stronghold says that its token can act as a new liquidity tool for real-time foreign exchange and international settlement, as well as enable banks to issue credit into transactional networks and trade ecosystems. By pegging to the dollar, the firm hopes to reap the benefits of cryptocurrencies while also limiting price volatility, adhering to the rigors and integrity of sound monetary policy, and providing support for industries that have regulatory compliance requirements.In a blog, Jesse Lund, VP, global market development, FSS - IBM Industry Platform, says: ""The “stability” of stable coins could translate into improving the entire backbone of international banking operations, giving banks an innovative way to significantly update their core banking and compliance infrastructure while also helping to improve operational efficiency and regulatory transparency; not to mention, these types of enhancements tend to greatly improve user experience and can help bolster a renewed trust in banks.""On the Stronghold tie-up, Lund says that it could let banks begin extending credit to real-time transactional networks - giving them access to new markets and allowing them to participate in financing activities like Open Account trade transactions.""There are still challenges to using stable coins, so this new solution will be explored further during a pilot period. The good news is that a successful implementation could be exactly what is needed for payments on blockchain to reach widespread adoption throughout the financial industry.""Welcome to the revolution,"" concludes Lund.
","4038","0",8
"9","https://www.finextra.com/newsarticle/32403/euroclear-takes-stake-in-algomi",11,"Euroclear takes stake in Algomi","18 July 2018  |  3019 views  |  0",1531915200,"
	Founded in 2012 by Stu Taylor, Robert Howes and Usman Khan, who previously worked on projects including UBS PIN network, and Deutsche Bank Autobahn, London-based Algomi has over 160 buyside and 15 banks signed up to its Honeycomb Network.The network helps banks create a virtual balance sheet based on actual bond data - including trade information, enquiries, and holdings - and lets buyside firms see this validated virtual balance sheet at the banks.Peter Golder, CEO of Euroclear Information Solutions says the investment will enable it to tap into the market for illiquid fixed income securities by providing clients with the ability to query bond holdings anonymously through Algomi's data aggregation service.“Our investment in Algomi is driven by client demand to access untapped liquidity pools,"" he says. ""This venture represents an opportunity to transform our data into an asset to increase transparency and provide a substantial boost for global fixed income markets.”Euroclear joins earlier investors including stock exchange Euronext, asset manager AllianceBernstein and index provider S&P Global, alongside prominent angels Peter Glocer and Howard Edelstein.
","3019","0",9
"10","https://www.finextra.com/newsarticle/32401/dtcc-makes-brexit-break-to-ireland",5,"DTCC makes Brexit break to Ireland","18 July 2018  |  2563 views  |  1",1531915200,"
	The New York post-trade infrastructure has begun a recruitment offensive in Dublin, Ireland following the opening of a new base in the Irish capital for its Global Trade Repository service.""Our continued growth and desire to get ahead of new regulatory obligations, because of Brexit, now takes us across the Irish Sea to Dublin,” says Simon Farrington, managing director, Emea at DTCC. “We look forward to hiring and developing a local team, and working with lawmakers, regulators, trade associations and other key industry stakeholders to ensure the success of our new operations in Ireland.”The move has been seized upon by the Irish Government as a showcase for its ability to lure away firms fleeing the threat of disruption from Brexit.Heather Humphreys TD, Minister for business, enterprise and innovation, comments: “We have the right skills and structures to support new projects and to welcome new investors. As we face into the challenges of Brexit, we are determined to pursue and seize new opportunities and the Government has, therefore, been making strenuous efforts to ensure that we have the right conditions in place in Ireland to attract the key knowledge-based sectors.”DTCC says it is now actively recruiting for several open positions, including a systems director and general manager. 
","2563","1",10
