"","x"
"1","https://www.finextra.com/newsarticle/32408/p2p-lending-firm-growth-street-joins-starling-marketplace"
"2","https://www.finextra.com/newsarticle/32411/hong-kong-monetary-authority-embraces-open-apis"
"3","https://www.finextra.com/newsarticle/32410/truelayer-raises-75-million-for-european-expansion"
"4","https://www.finextra.com/newsarticle/32409/moneysupermarket-sets-up-fintech-jv-to-digitise-the-mortgage-market"
"5","https://www.finextra.com/newsarticle/32406/bloomberg-curates-twitter-feed-for-algo-traders-state-street-reads-the-news"
"6","https://www.finextra.com/newsarticle/32405/banco-sabadells-innocells-pumps-eur75-million-into-israeli-startup-fund"
"7","https://www.finextra.com/newsarticle/32407/blast-raises-12m-for-app-that-helps-gamers-save-while-they-play"
"8","https://www.finextra.com/newsarticle/32404/ibm-to-test-dollar-pegged-stablecoin"
"9","https://www.finextra.com/newsarticle/32403/euroclear-takes-stake-in-algomi"
"10","https://www.finextra.com/newsarticle/32401/dtcc-makes-brexit-break-to-ireland"
"11","https://www.finextra.com/newsarticle/32396/calmejane-quits-lloyds-bank-to-join-socgen"
"12","https://www.finextra.com/newsarticle/32385/metro-bank-opens-developer-portal"
"13","https://www.finextra.com/newsarticle/32384/anything-visa-can-domastercard-takes-time-out"
"14","https://www.finextra.com/newsarticle/32387/mastercard-enlists-worldpay-to-push-vocalinks-pay-by-bank-app"
"15","https://www.finextra.com/newsarticle/32393/hong-kong-plans-september-go-live-for-blockchain-based-trade-finance"
"16","https://www.finextra.com/newsarticle/32391/fintech-startups-told-to-follow-the-money-or-crash-and-burn"
"17","https://www.finextra.com/newsarticle/32010/wealthify-joins-starling-marketplace"
"18","https://www.finextra.com/newsarticle/31666/starling-bank-marketplace-welcomes-first-wave-of-fintech-partners"
"19","https://www.finextra.com/newsarticle/32410/truelayer-raises-75-million-for-european-expansion#comment"
"20","https://www.finextra.com/newsarticle/32401/dtcc-makes-brexit-break-to-ireland#comment"
"21","https://www.finextra.com/newsarticle/32355/hsbc-highlights-the-six-new-banking-careers-of-the-future#comment"
"22","https://www.finextra.com/newsarticle/32349/hong-kong-digital-bank-neat-scores-2m-funding-boost"
"23","https://www.finextra.com/newsarticle/32230/standard-chartered-applies-for-virtual-banking-licence-in-hong-kong"
"24","https://www.finextra.com/newsarticle/32088/hong-kong-brings-lending-decisions-into-the-digital-age"
"25","https://www.finextra.com/newsarticle/31797/starling-and-truelayer-integrate-for-open-banking"
"26","https://www.finextra.com/newsarticle/31653/openwrks-zopa-and-truelayer-get-into-open-banking-groove"
"27","https://www.finextra.com/newsarticle/30718/bank-api-platform-truelayer-secures-3m-series-a-funding"
"28","https://www.finextra.com/newsarticle/30132/truelayer-unveils-api-platform-to-connect-banks-and-developers"
"29","https://www.finextra.com/newsarticle/32082/athena-raises-15-million-to-disrupt-australian-mortgage-market"
"30","https://www.finextra.com/newsarticle/32077/goldman-sachs-and-bbva-backed-propel-lead-136m-financing-in-mortgage-startup-trussle"
"31","https://www.finextra.com/newsarticle/32059/fca-calls-for-more-innovation-in-mortgage-market"
"32","https://www.finextra.com/newsarticle/31422/uk-treasury-looks-to-fintech-to-revive-the-mortgage-market"
"33","https://www.finextra.com/newsarticle/31009/uk-challenger-bank-launches-as-proptech-market-hots-up"
"34","https://www.finextra.com/newsarticle/30647/uk-banks-failing-customers-in-digital-mortgage-market"
"35","https://www.finextra.com/newsarticle/30067/is-proptech-the-new-fintech-trussle-follows-habito-with-45-million-round"
"36","https://www.finextra.com/newsarticle/30026/habito-secures-55-million-investment-to-shake-up-the-mortgage-industry"
"37","https://www.finextra.com/newsarticle/29868/atom-bank-launches-mobile-mortgages"
"38","https://www.finextra.com/newsarticle/31564/researchers-develop-algo-that-uses-twitter-to-predict-the-stock-market"
"39","https://www.finextra.com/newsarticle/25794/bloomberg-adds-social-sentiment-analytics-to-trading-terminal"
"40","https://www.finextra.com/newsarticle/25681/thomson-reuters-adds-twitter-and-news-sentiment-analysis-to-eikon"
"41","https://www.finextra.com/newsarticle/32286/banco-sabadell-unit-buys-pos-consumer-financing-startup"
"42","https://www.finextra.com/newsarticle/31991/tsb-customers-rage-as-migration-to-sabadell-platform-goes-awry"
"43","https://www.finextra.com/newsarticle/31725/banco-sabadell-startup-fund-invests-in-voice-biometrics-firm"
"44","https://www.finextra.com/newsarticle/31243/banco-sabadell-and-investec-lead-15-million-round-in-bud"
"45","https://www.finextra.com/newsarticle/30201/banco-sabadell-highlights-commitment-to-startup-ecosystem"
"46","https://www.finextra.com/newsarticle/28776/paypal-leads-30m-round-in-spare-change-investment-app-acorns"
"47","https://www.finextra.com/newsarticle/32032/anz-and-ibm-explore-application-of-dlt-in-insurance-sector"
"48","https://www.finextra.com/newsarticle/31531/ibm-and-maersk-form-jv-for-blockchain-based-global-trade-platform"
"49","https://www.finextra.com/newsarticle/31191/ibm-uses-blockchain-to-improve-cross-border-payments-processing"
"50","https://www.finextra.com/newsarticle/30891/euroclear-backs-away-from-gold-bullion-blockchain-project"
"51","https://www.finextra.com/newsarticle/30221/euronext-furthers-fixed-income-ambitions-with-10-million-stake-in-algomi"
"52","https://www.finextra.com/newsarticle/29708/euronext-and-algomi-to-build-corporate-bond-trading-network"
"53","https://www.finextra.com/newsarticle/28597/former-thomson-reuters-chief-glocer-invests-in-algomi"
"54","https://www.finextra.com/newsarticle/28510/rise-in-collateral-settlement-fails-has-huge-implications---dtcc-euroclear-paper"
"55","https://www.finextra.com/newsarticle/25799/edelstein-invests-in-algomi"
"56","https://www.finextra.com/newsarticle/32400/mums-the-word-for-ocbcs-first-e-commerce-marketplace"
"57","https://www.finextra.com/newsarticle/32367/tp-icap-fires-boss-phizackerley-as-brexit-costs-mount"
"58","https://www.finextra.com/newsarticle/31687/london-mayor-warns-of-hard-brexit-threat-to-london-tech-hub-status"
"59","https://www.finextra.com/newsarticle/31343/brexit-uncertainty-causing-skills-gap-say-uk-tech-leaders"
"60","https://www.finextra.com/newsarticle/31256/ubs-says-1000-jobs-brexit-exodus-is-unlikely"
"61","https://www.finextra.com/newsarticle/31013/france-and-swedens-fintech-ambitions-get-brexit-boost"
"62","https://www.finextra.com/newsarticle/31003/frankfurt-predicts-brexit-jobs-boost-at-londons-expense"
"63","https://www.finextra.com/newsarticle/30428/transferwise-boss-warns-fintech-startups-against-brexit-britain"
"64","https://www.finextra.com/newsarticle/30252/brexit-to-drive-corporate-banking-shake-up"
"65","https://www.finextra.com/newsarticle/30179/paris-to-build-seven-new-skyscrapers-to-accommodate-banks-fleeing-britain"
"66","https://www.finextra.com/newsarticle/29855/lithuania-makes-a-pitch-for-post-brexit-uk-fintech-firms"
"67","https://www.finextra.com/newsarticle/29821/a-third-of-londons-city-workers-could-face-relocation-in-wake-of-brexit---survey"
"68","https://www.finextra.com/newsarticle/29612/paris-urges-city-staff-to-join-the-frogs"
"69","https://www.finextra.com/newsarticle/29542/hard-brexit-will-have-a-crushing-impact-on-uk-tax-take-and-jobs-warns-city-lobby"
"70","https://www.finextra.com/newsarticle/29191/brexit-scarred-london-fintech-startups-enquire-about-moving-to-berlin"
"71","https://www.finextra.com/newsarticle/29143/the-vultures-are-circling-eu-states-eye-up-londons-finance-crown"
"72","https://www.finextra.com/newsarticle/29111/brexit-visa-could-move-jobs-to-continent-lse-deutsche-bourse-london-hq-at-risk"
"73","https://www.finextra.com/newsarticle/32395/bank-of-queensland-to-hand-out-free-square-card-readers-at-branches"
"74","https://www.finextra.com/newsarticle/32294/socgen-buys-renewable-energy-crowdfunding-platform"
"75","https://www.finextra.com/newsarticle/31383/societe-generale-to-cut-900-staff-close-300-branches"
"76","https://www.finextra.com/newsarticle/31312/socgen-opens-internal-startup-programme"
"77","https://www.finextra.com/newsarticle/31205/socgen-appoints-woolley-to-run-new-innovation-division-in-uk"
"78","https://www.finextra.com/newsarticle/30667/socgen-extends-fintech-collaboration-mission-to-germany"
"79","https://www.finextra.com/newsarticle/30018/socgen-builds-startup-database"
"80","https://www.finextra.com/newsarticle/29629/socgen-opens-tech-hub-for-digital-drive"
"81","https://www.finextra.com/newsarticle/29189/lloyds-bank-launches-mentoring-service-for-fintechs"
"82","https://www.finextra.com/newsarticle/29164/socgen-eyes-african-expansion-sinks-eur1-million-in-to-tagpay"
"83","https://www.finextra.com/newsarticle/28926/lloyds-runs-digital-expert-days-for-marketing-staff"
"84","https://www.finextra.com/newsarticle/28345/lloyds-launches-digital-banking-hub"
"85","https://www.finextra.com/newsarticle/28019/lloyds-creates-digital-skills-training-course-for-it-staffers"
"86","https://www.finextra.com/newsarticle/26631/lloyds-commits-1-billion-to-digital-amid-massive-job-cuts-and-branch-closures"
"87","https://www.finextra.com/newsarticle/31956/metro-bank-to-introduce-ai-powered-money-management-tool"
"88","https://www.finextra.com/newsarticle/31536/metro-bank-joins-digital-revolution-with-instant-online-account-opening"
"89","https://www.finextra.com/newsarticle/29896/metro-bank-migrates-to-the-cloud"
"90","https://www.finextra.com/newsarticle/29764/metro-bank-tests-smartcard-payments-on-the-blockchain"
"91","https://www.finextra.com/newsarticle/28594/branch-based-challenger-metro-bank-valued-at-16bn-on-ipo"
"92","https://www.finextra.com/newsarticle/27372/metro-bank-to-offer-consumer-loans-via-zopa"
"93","https://www.finextra.com/newsarticle/32383/japans-paidy-raises-55m-for-credit-card-free-online-shopping-service"
"94","https://www.finextra.com/newsarticle/32296/bank-of-ireland-hit-by-debit-card-failure"
"95","https://www.finextra.com/newsarticle/32277/visa-says-52m-payments-failed-during-10-hour-outage"
"96","https://www.finextra.com/newsarticle/32263/debit-cards-overtake-cash-payments-in-the-uk"
"97","https://www.finextra.com/newsarticle/32204/uk-politicians-round-on-visa-over-breakdown"
"98","https://www.finextra.com/newsarticle/32187/visa-outage-hits-payments-across-europe"
"99","https://www.finextra.com/newsarticle/32386/sberbank-partners-tinkoff-for-mobile-p2p-payments"
"100","https://www.finextra.com/newsarticle/29207/mastercard-agrees-700m-vocalink-acquisition"
"101","https://www.finextra.com/newsarticle/27568/barclays-joins-zapp-as-apple-pay-looms"
"102","https://www.finextra.com/newsarticle/27446/zapp-gears-up-for-launch"
"103","https://www.finextra.com/newsarticle/26836/brits-ready-to-switch-banks-to-access-mobile-payments---zapp"
"104","https://www.finextra.com/newsarticle/25611/uk-banks-sign-up-to-zapp-mobile-payments"
"105","https://www.finextra.com/newsarticle/32392/td-ameritrade-dangles-100000-carrot-for-competition"
"106","https://www.finextra.com/newsarticle/32342/wetrade-blockchain-platform-goes-into-live-production"
"107","https://www.finextra.com/newsarticle/32292/ing-and-bnp-paribas-invest-in-blockchain-powered-trade-platform-tradeix"
"108","https://www.finextra.com/newsarticle/32095/hsbc-claims-blockchain-breakthrough-for-trade-finance"
"109","https://www.finextra.com/newsarticle/31975/top-tier-banks-pass-first-transactions-on-trade-finance-blockchain"
"110","https://www.finextra.com/newsarticle/31955/icici-bank-onboards-250-corporates-to-blockchain-platform"
"111","https://www.finextra.com/newsarticle/31705/marco-polo-sets-sail-for-dlt-pilot-phase"
"112","https://www.finextra.com/newsarticle/31247/hong-kong-and-singapore-joins-forces-on-blockchain-trade-finance-platform"
"113","https://www.finextra.com/newsarticle/31145/four-more-banks-join-ibmubs-blockchain-trade-finance-platform"
"114","https://www.finextra.com/newsarticle/31113/r3-and-12-banks-plan-overhaul-of-open-account-trade-finance"
"115","https://www.finextra.com/newsarticle/30944/hsbc-automates-documentary-trade-processing-with-ibm"
"116","https://www.finextra.com/newsarticle/30904/hong-kong-exchange-plans-blockchain-based-share-market"
"117","https://www.finextra.com/newsarticle/30804/mizuho-completes-dlt-based-trade-finance-transaction"
"118","https://www.finextra.com/newsarticle/30785/commerzbank-steps-up-focus-on-trade-finance-transformation"
"119","https://www.finextra.com/newsarticle/30036/hong-kong-exchange-ponders-blockchain-in-settlement-overhaul"
"120","https://www.finextra.com/newsarticle/29986/seven-banks-plan-blockchain-platform-for-smes"
"121","https://www.finextra.com/newsarticle/29647/cba-and-wells-fargo-combine-blockchain-and-iot-to-revolutionise-trade-finance"
"122","https://www.finextra.com/newsarticle/29587/emirates-nbd-and-icici-demo-blockchain-application-for-trade-finance"
"123","https://www.finextra.com/newsarticle/29505/microsoft-takes-it-own-blockchain-medicine-in-trade-finance-deployment"
"124","https://www.finextra.com/newsarticle/29394/hkma-to-set-up-fintech-sandbox-and-innovation-hub"
