url,title,postTags,views,comments,time,text,id
https://www.finextra.com/newsarticle/32355/hsbc-highlights-the-six-new-banking-careers-of-the-future,"HSBC highlights the six new banking careers of the future","MOBILE & ONLINE,RETAIL BANKING,WHOLESALE BANKING,HUMAN RESOURCES",4045,0,NULL,"7 hours ago | 4045 views | 0",1
https://www.finextra.com/newsarticle/32359/cryptocurrency-visa-card-startup-buys-cryptocom-domain,"Cryptocurrency Visa card startup buys Crypto.com domain","MOBILE & ONLINE,RETAIL BANKING,CARDS,PAYMENTS,VIRTUAL CURRENCY",1770,0,NULL,"3 hours ago | 1770 views | 0",2
https://www.finextra.com/newsarticle/32357/square-takes-a-breather-in-banking-licence-battle,"Square takes a breather in banking licence battle","MOBILE & ONLINE,RETAIL BANKING,RISK & REGULATION,PAYMENTS",1885,0,NULL,"5 hours ago | 1885 views | 0",3
https://www.finextra.com/newsarticle/32356/gaming-group-razer-moves-into-mobile-payments,"Gaming group Razer moves into mobile payments","PAYMENTS,MOBILE & ONLINE,RETAIL BANKING",1433,0,NULL,"5 hours ago | 1433 views | 0",4
https://www.finextra.com/newsarticle/32354/six-to-build-digital-asset-trading-settlement-and-custody-service,"SIX to build digital asset trading, settlement and custody service","TRADE EXECUTION,WHOLESALE BANKING,BLOCKCHAIN,POST-TRADE & OPS,VIRTUAL CURRENCY",2046,0,NULL,"8 hours ago | 2046 views | 0",5
https://www.finextra.com/newsarticle/32353/national-bank-of-canada-invests-in-local-data-sharing-startup-flinks,"National Bank of Canada invests in local data sharing startup Flinks","MOBILE & ONLINE,RETAIL BANKING,PAYMENTS,OPEN APIS,START UPS,FINDEX",2906,0,NULL,"05 July 2018 | 2906 views | 0",6
https://www.finextra.com/newsarticle/32352/mastercard-biometric-payments-to-take-centre-stage-under-psd2,"Mastercard: Biometric payments to take centre stage under PSD2","MOBILE & ONLINE,SECURITY,PAYMENTS,CARDS,RISK & REGULATION,RETAIL BANKING,BIOMETRICS,E-COMMERCE",5544,4,NULL,"05 July 2018 | 5544 views | 4",7
https://www.finextra.com/newsarticle/32351/uk-regulators-turn-the-heat-up-on-bank-it-failures,"UK regulators turn the heat up on bank IT failures","WHOLESALE BANKING,MOBILE & ONLINE,RETAIL BANKING,PAYMENTS,RISK & REGULATION,REPORTING/COMPLIANCE",5896,0,NULL,"05 July 2018 | 5896 views | 0",8
https://www.finextra.com/newsarticle/32349/hong-kong-digital-bank-neat-scores-2m-funding-boost,"Hong Kong digital bank Neat scores $2m funding boost","START UPS,PAYMENTS,RETAIL BANKING,MOBILE & ONLINE",3596,0,NULL,"05 July 2018 | 3596 views | 0",9
https://www.finextra.com/newsarticle/32350/ubs-puts-digital-clone-of-chief-investment-officer-in-branch,"UBS puts digital clone of chief investment officer in branch","RETAIL BANKING,ARTIFICIAL INTELLIGENCE,WEALTH MANAGEMENT",8544,1,NULL,"04 July 2018 | 8544 views | 1",10
https://www.finextra.com/newsarticle/32339/bermuda-to-create-new-class-of-banks-to-encourage-fintech,"Bermuda to create new class of banks to encourage fintech","RETAIL BANKING,WHOLESALE BANKING,START UPS,BLOCKCHAIN",11443,0,NULL,"03 July 2018 | 11443 views | 0",11
https://www.finextra.com/newsarticle/32336/from-data-security-darling-to-cyber-fall-guy-monzo-experiences-a-breach-of-its-own,"From data security darling to cyber fall guy, Monzo experiences a breach of its own","SECURITY,MOBILE & ONLINE,RETAIL BANKING,FINDEX",9647,2,NULL,"02 July 2018 | 9647 views | 2",12
https://www.finextra.com/newsarticle/32341/bofa-merrill-introduces-biometric-log-ins-for-corporate-mobile-users,"BofA Merrill introduces biometric log-ins for corporate mobile users","PAYMENTS,MOBILE & ONLINE,TRANSACTION BANKING,WHOLESALE BANKING,SECURITY,BIOMETRICS",8741,0,NULL,"02 July 2018 | 8741 views | 0",13
https://www.finextra.com/newsarticle/32344/eba-warns-banks-on-being-too-passive-or-proactive-on-fintech,"EBA warns banks on being too passive or proactive on fintech","RETAIL BANKING,WHOLESALE BANKING,BLOCKCHAIN,MOBILE & ONLINE,ARTIFICIAL INTELLIGENCE,PAYMENTS,SECURITY,RISK & REGULATION,BIOMETRICS,CLOUD,CORE BANKING SYSTEMS,CREDIT REFERENCING AND SUPPORT",7856,1,NULL,"03 July 2018 | 7856 views | 1",14
https://www.finextra.com/newsarticle/32314/hsbc-hires-pepper-the-robot,"HSBC hires Pepper the robot","RETAIL BANKING,BRANCH BANKING",6448,0,NULL,"27 June 2018 | 6448 views | 0",15
https://www.finextra.com/newsarticle/32239/hsbc-promises-17bn-investment-in-technology,"HSBC promises $17bn investment in technology","WHOLESALE BANKING,TRANSACTION BANKING,RETAIL BANKING,BRANCH BANKING,INSURANCE,NON-BANK COMPETITORS,WEALTH MANAGEMENT",10254,2,NULL,"12 June 2018 | 10254 views | 2",16
https://www.finextra.com/newsarticle/32095/hsbc-claims-blockchain-breakthrough-for-trade-finance,"HSBC claims blockchain breakthrough for trade finance","TRADE EXECUTION,BLOCKCHAIN,TRANSACTION BANKING,SUPPLY CHAIN FINANCE,TRADE FINANCE",15114,0,NULL,"14 May 2018 | 15114 views | 0",17
https://www.finextra.com/newsarticle/32074/hsbc-launches-connected-money-app,"HSBC launches Connected Money app","RETAIL BANKING,OPEN APIS,MOBILE & ONLINE,PERSONAL FINANCE",15834,14,NULL,"09 May 2018 | 15834 views | 14",18
https://www.finextra.com/newsarticle/31922/hsbc-applies-ai-to-track-financial-crime,"HSBC applies AI to track financial crime","RISK & REGULATION,TRANSACTION BANKING,WHOLESALE BANKING,MONEY LAUNDERING,REPORTING/COMPLIANCE",15698,0,NULL,"09 April 2018 | 15698 views | 0",19
https://www.finextra.com/newsarticle/31358/hsbc-names-former-google-engineering-lead-as-cio-for-rbwm-digital,"HSBC names former Google engineering lead as CIO for RBWM digital","MOBILE & ONLINE,RETAIL BANKING,PEOPLE",14738,0,NULL,"21 November 2017 | 14738 views | 0",20
https://www.finextra.com/newsarticle/31217/hsbc-partners-bud-for-open-banking-trial,"HSBC partners Bud for open banking trial","OPEN APIS,PAYMENTS,MOBILE & ONLINE,START UPS,RETAIL BANKING,RISK & REGULATION",23141,9,NULL,"19 October 2017 | 23141 views | 9",21
https://www.finextra.com/newsarticle/31121/hsbc-moves-into-open-banking,"HSBC moves into open banking","RETAIL BANKING,MOBILE & ONLINE,OPEN APIS,PERSONAL FINANCE",44461,12,NULL,"28 September 2017 | 44461 views | 12",22
https://www.finextra.com/newsarticle/31079/hsbc-switches-on-selfie-payments-in-china,"HSBC switches on selfie payments in China","RETAIL BANKING,PAYMENTS,SECURITY,MOBILE & ONLINE,BIOMETRICS",20950,0,NULL,"18 September 2017 | 20950 views | 0",23
https://www.finextra.com/newsarticle/30650/hsbc-boards-the-robo-advice-train,"HSBC boards the robo-advice train","WHOLESALE BANKING,RETAIL BANKING,ARTIFICIAL INTELLIGENCE,ROBO-ADVISOR,WEALTH MANAGEMENT",15108,0,NULL,"01 June 2017 | 15108 views | 0",24
https://www.finextra.com/newsarticle/30615/robot-heart-surgeons-more-trusted-than-robot-bankers,"Robot heart surgeons more trusted than robot bankers","RETAIL BANKING,SECURITY,MOBILE & ONLINE,BIOMETRICS,ROBO-ADVISOR",11675,1,NULL,"24 May 2017 | 11675 views | 1",25
https://www.finextra.com/newsarticle/30816/elon-musk-buys-xcom-domain-from-paypal,"Elon Musk buys X.com domain from PayPal","PAYMENTS,MOBILE & ONLINE,RETAIL BANKING",7131,1,NULL,"11 July 2017 | 7131 views | 1",26
https://www.finextra.com/newsarticle/27519/new-bank-domain-attracts-3000-applications,"New .bank domain attracts 3000 applications","WHOLESALE BANKING,MOBILE & ONLINE,SECURITY,RETAIL BANKING",7205,2,NULL,"25 June 2015 | 7205 views | 2",27
https://www.finextra.com/newsarticle/26697/amazon-wins-right-to-sell-pay-and-buy-domains,"Amazon wins right to sell .pay and .buy domains","RETAIL BANKING,PAYMENTS,E-COMMERCE",9388,0,NULL,"14 November 2014 | 9388 views | 0",28
https://www.finextra.com/newsarticle/26328/going-going-gonebtccom-domain-sells-for-11-million,"Going, going, gone...BTC.com domain sells for $1.1 million","PAYMENTS,RETAIL BANKING,BLOCKCHAIN",4487,0,NULL,"05 August 2014 | 4487 views | 0",29
https://www.finextra.com/newsarticle/32270/square-gets-new-york-bitlicense,"Square gets New York BitLicense","RETAIL BANKING,PAYMENTS,RISK & REGULATION,MOBILE & ONLINE,VIRTUAL CURRENCY",4683,0,NULL,"18 June 2018 | 4683 views | 0",30
